// Cat0: Material Combination
// Cat1: Errtel
// Cat2 : Errtel Level Upgrade
// Cat3 : Errtel Rank Upgrade
// Cat6: Wing Add Option
// Cat7: Wing Option Level Upgrade
//Category	Index	SuccessRate_Cat0	ItemID[0]	ItemID[1]	ItemID[2]	ItemID[3]	ItemID[4]	ItemCat[0]	ItemCat[1]	ItemCat[2]	ItemCat[3]	ItemCat[4]	ItemIndex[0]	ItemIndex[1]	ItemIndex[2]	ItemIndex[3]	ItemIndex[4]	ItemCount[0]	ItemCount[1]	ItemCount[2]	ItemCount[3]	ItemCount[4]	MoneyNeed	ItemLevelNeed	ErrtelRankNeed	ErrtelCount	SuccessRate_Cat1[0]	SuccessRate_Cat1[1]	SuccessRate_Cat1[2]	SuccessRate_Cat1[3]	SuccessRate_Cat1[4]	Unk_Block[0]	Unk_Block[1]	Unk_Block[2]	Unk_Block[3]
0	1	5000	6289	7181	-1	-1	-1	12	14	-1	-1	-1	145	13	-1	-1	-1	1	1	0	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	10000	7477	7478	7479	7480	-1	14	14	14	14	-1	309	310	311	312	-1	1	1	1	1	0	100000000	0	0	0	0	0	0	0	0	0	0	0	0	
0	3	10000	51711	7485	-1	-1	-1	101	14	-1	-1	-1	-1	317	-1	-1	-1	1	1	0	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	0	6365	6375	6385	6395	-1	12	12	12	12	-1	221	231	241	251	-1	1	1	1	1	0	0	0	0	0	4000	3000	2000	1000	0	0	0	0	0	
1	2	0	7484	-1	-1	-1	-1	14	-1	-1	-1	-1	316	-1	-1	-1	-1	1	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	
1	3	0	51711	-1	-1	-1	-1	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	
2	1	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	1	0	0	0	0	100000	0	0	1	0	0	0	0	0	0	0	0	0	
2	2	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	1	0	0	0	0	150000	1	0	1	0	0	0	0	0	0	0	0	0	
2	3	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	2	0	0	0	0	200000	2	0	1	0	0	0	0	0	0	0	0	0	
2	4	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	2	0	0	0	0	250000	3	0	1	0	0	0	0	0	0	0	0	0	
2	5	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	3	0	0	0	0	300000	4	0	1	0	0	0	0	0	0	0	0	0	
2	6	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	3	0	0	0	0	350000	5	0	1	0	0	0	0	0	0	0	0	0	
2	7	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	4	0	0	0	0	400000	6	0	1	0	0	0	0	0	0	0	0	0	
2	8	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	5	0	0	0	0	450000	7	0	1	0	0	0	0	0	0	0	0	0	
2	9	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	6	0	0	0	0	500000	8	0	1	0	0	0	0	0	0	0	0	0	
2	10	0	6432	-1	-1	-1	-1	12	-1	-1	-1	-1	288	-1	-1	-1	-1	7	0	0	0	0	600000	9	0	1	0	0	0	0	0	0	0	0	0	
3	2	0	6295	6174	51201	-1	-1	12	12	100	-1	-1	151	30	1	-1	-1	1	1	1	0	0	100000	0	1	1	0	0	0	0	0	6000	6000	6000	6000	
3	3	0	6295	6174	51201	-1	-1	12	12	100	-1	-1	151	30	1	-1	-1	3	1	1	0	0	100000	0	2	1	0	0	0	0	0	6000	6000	6000	6000	
