//ID	//Name1	Name2	Opt_1stIndex_1	Opt_2ndIndex_1	Opt_1stIndex_2	Opt_2ndIndex_2	Opt_1stIndex_3	Opt_2ndIndex_3	Opt_1stIndex_4	Opt_2ndIndex_4	Opt_1stIndex_5	Opt_2ndIndex_5	Opt_1stIndex_6	Opt_2ndIndex_6	Opt_1stValue_1	Opt_2ndValue_1	Opt_1stValue_2	Opt_2ndValue_2	Opt_1stValue_3	Opt_2ndValue_3	Opt_1stValue_4	Opt_2ndValue_4	Opt_1stValue_5	Opt_2ndValue_5	Opt_1stValue_6	Opt_2ndValue_6	Opt_1stExIndex	Opt_2ndExIndex	Opt_1stExValue	Opt_2ndExValue	Flag	Full_Index_1	Full_Index_2	Full_Index_3	Full_Index_4	Full_Index_5	Full_Index_6	Full_Value_1	Full_Value_2	Full_Value_3	Full_Value_4	Full_Value_5	Full_Value_6	DW	DK	FE	MG	DL	SU	RF	GL
0		.	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
1	Warrior's	Warrior	0	-1	19	-1	13	-1	14	-1	10	-1	1	-1	10	-1	10	-1	20	-1	5	-1	20	-1	10	-1	-1	-1	-1	-1	8	15	17	0	-1	-1	-1	5	5	25	-1	-1	-1	0	0	0	0	0	0	0	0	
2	Anonymous's	Anonymous	11	-1	1	-1	22	-1	-1	-1	-1	-1	-1	-1	50	-1	50	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	8	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
3	Hyperion's	Hyperion	2	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	19	12	-1	-1	-1	-1	20	30	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
4	Mist's	Mist	3	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	20	1	-1	-1	-1	-1	10	20	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
5	Eplete's	Eplete	19	-1	9	-1	7	-1	11	-1	-1	-1	-1	-1	15	-1	50	-1	5	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	13	15	17	-1	-1	-1	30	10	10	-1	-1	-1	0	0	0	0	0	0	0	0	
6	Berserker's	Berserker	6	-1	6	-1	6	-1	6	-1	-1	-1	-1	-1	10	-1	20	-1	30	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	19	0	-1	-1	-1	-1	40	40	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
7	Garuda's	Garuda	13	-1	20	-1	2	-1	11	-1	-1	-1	-1	-1	30	-1	5	-1	15	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	19	7	-1	-1	-1	-1	25	15	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
8	Cloud's	Cloud	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	16	-1	-1	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
9	Kantata's	Kantata	2	-1	3	-1	7	-1	0	-1	-1	-1	-1	-1	15	-1	30	-1	10	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	19	17	18	-1	-1	-1	25	10	20	-1	-1	-1	0	0	0	0	0	0	0	0	
10	Rave's	Rave	19	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	23	21	-1	-1	-1	-1	30	5	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
11	Hyon's	Hyon	10	-1	20	-1	19	-1	-1	-1	-1	-1	-1	-1	25	-1	10	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	15	17	16	18	-1	-1	15	15	20	20	-1	-1	0	0	0	0	0	0	0	0	
12	Vicious's	Vicious	19	-1	8	-1	20	-1	-1	-1	-1	-1	-1	-1	15	-1	15	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	5	6	21	-1	-1	-1	20	30	5	-1	-1	-1	0	0	0	0	0	0	0	0	
13	Apollo's	Apollo	2	-1	7	-1	19	-1	12	-1	11	-1	13	-1	10	-1	5	-1	10	-1	30	-1	30	-1	20	-1	-1	-1	-1	-1	8	15	17	2	-1	-1	-1	10	10	30	-1	-1	-1	0	0	0	0	0	0	0	0	
14	Barnake's	Barnake	7	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	19	12	-1	-1	-1	-1	30	100	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
15	Evis's	Evis	19	-1	3	-1	7	-1	-1	-1	-1	-1	-1	-1	15	-1	20	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	20	9	14	-1	-1	-1	5	50	5	-1	-1	-1	0	0	0	0	0	0	0	0	
16	Sylion's	Sylion	20	-1	15	-1	10	-1	-1	-1	-1	-1	-1	-1	5	-1	5	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	1	3	2	-1	-1	50	50	50	50	-1	-1	0	0	0	0	0	0	0	0	
17	Heras's	Heras	0	-1	7	-1	22	-1	2	-1	9	-1	-1	-1	15	-1	10	-1	5	-1	15	-1	50	-1	-1	-1	-1	-1	-1	-1	8	15	17	11	12	-1	-1	10	10	50	50	-1	-1	0	0	0	0	0	0	0	0	
18	Minet's	Minet	2	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	12	19	-1	-1	-1	-1	100	15	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
19	Anubis's	Anubis	20	-1	12	-1	7	-1	-1	-1	-1	-1	-1	-1	10	-1	50	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	15	17	16	18	-1	-1	15	15	20	20	-1	-1	0	0	0	0	0	0	0	0	
20	Enis	Enis	19	-1	20	-1	2	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	7	21	-1	-1	-1	-1	10	5	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
21	Ceto's	Ceto	1	-1	11	-1	10	-1	22	-1	2	-1	-1	-1	10	-1	50	-1	20	-1	5	-1	10	-1	-1	-1	-1	-1	-1	-1	8	11	0	-1	-1	-1	-1	50	20	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
22	Drake's	Drake	1	-1	8	-1	20	-1	-1	-1	-1	-1	-1	-1	20	-1	25	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	10	15	-1	-1	-1	-1	40	10	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
23	Gaia's	Gaia	19	-1	12	-1	0	-1	20	-1	-1	-1	-1	-1	10	-1	25	-1	10	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	17	18	-1	-1	-1	30	10	10	-1	-1	-1	0	0	0	0	0	0	0	0	
24	Fase's	Fase	11	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	100	-1	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	10	-1	-1	-1	-1	-1	100	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
25	Odin's	Odin	2	-1	11	-1	9	-1	1	-1	-1	-1	-1	-1	15	-1	50	-1	50	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	12	21	13	-1	-1	-1	50	5	50	-1	-1	-1	0	0	0	0	0	0	0	0	
26	Elvian's	Elvian	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	21	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
27	Argo's	Argo	6	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	13	20	-1	-1	-1	-1	50	5	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
28	Karis's	Karis	19	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	15	1	-1	-1	-1	-1	10	40	-1	-1	-1	-1	0	0	0	0	0	0	0	0	
29	Gywen's	Gywen	1	-1	5	-1	10	-1	6	-1	-1	-1	-1	-1	30	-1	20	20	20	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	15	17	16	18	-1	-1	15	15	20	20	-1	-1	0	0	0	0	0	0	0	0	
30	Aruan's	Aruan	8	-1	20	-1	19	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	15	17	21	-1	-1	-1	15	15	5	-1	-1	-1	0	0	0	0	0	0	0	0	
31	Gaion's	Gaion	21	-1	20	-1	19	-1	-1	-1	-1	-1	-1	-1	5	-1	15	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	17	18	7	0	-1	-1	15	30	10	30	-1	-1	0	0	0	0	0	0	0	0	
32	Muren's	Muren	19	-1	7	-1	20	-1	-1	-1	-1	-1	-1	-1	10	-1	10	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	15	17	10	23	-1	-1	15	15	25	20	-1	-1	0	0	0	0	0	0	0	0	
33	Agnis's	Agnis	20	-1	10	-1	19	-1	-1	-1	-1	-1	-1	-1	10	-1	40	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	15	17	16	18	-1	-1	15	15	20	20	-1	-1	0	0	0	0	0	0	0	0	
